['r_shoulder_z', 'r_shoulder_y', 'r_arm_x', 'r_elbow_y', 'r_wrist_z', 'r_wrist_x', 'r_indexfinger_x']
[-24.919612884521484, 81.44788360595703, 46.5534782409668, 94.36734771728516, -59.02716064453125, 28.00250244140625, 45.66969299316406]
[-23.59775161743164, 77.66324615478516, 51.584651947021484, 90.40859985351562, -54.61546325683594, 31.7850341796875, 44.77351379394531]
[-22.06369972229004, 74.4166259765625, 55.85386657714844, 87.24824523925781, -50.6829833984375, 35.5352783203125, 43.564422607421875]
[-20.503318786621094, 71.69718933105469, 59.442344665527344, 84.70260620117188, -47.04606628417969, 38.46466064453125, 41.898406982421875]
[-18.99561309814453, 69.18468475341797, 62.40077209472656, 82.63444519042969, -43.75263977050781, 41.58927917480469, 40.01759338378906]
[-17.574237823486328, 67.00515747070312, 64.78055572509766, 80.91563415527344, -40.56123352050781, 43.92820739746094, 37.809906005859375]
[-16.24845314025879, 64.8470687866211, 66.63165283203125, 79.46005249023438, -37.643829345703125, 46.566986083984375, 35.34739685058594]
[-15.018631935119629, 62.90716552734375, 68.00332641601562, 78.21353149414062, -34.64112854003906, 48.484130859375, 32.738250732421875]
[-13.872554779052734, 60.924224853515625, 68.94161987304688, 77.12442016601562, -31.926544189453125, 50.71522521972656, 29.744644165039062]
[-12.795980453491211, 59.05076599121094, 69.48963165283203, 76.18656921386719, -28.95465087890625, 52.31770324707031, 26.822052001953125]
[-11.760225296020508, 57.19856262207031, 69.75238800048828, 75.35467529296875, -26.337570190429688, 54.16105651855469, 23.363006591796875]
[-10.738607406616211, 55.2755126953125, 69.79357147216797, 74.67803955078125, -23.331436157226562, 55.55982971191406, 20.185195922851562]
[-9.694620132446289, 53.51927947998047, 69.81471252441406, 74.0284423828125, -20.734619140625, 57.043121337890625, 16.291290283203125]
[-8.613101959228516, 51.53491973876953, 69.8434066772461, 73.54469299316406, -17.688552856445312, 58.268890380859375, 12.909988403320312]
[-7.487232208251953, 49.81221008300781, 69.82908630371094, 73.07393646240234, -15.080291748046875, 59.4329833984375, 8.622268676757812]
[-6.314052581787109, 47.77833557128906, 69.841796875, 72.79554748535156, -12.019729614257812, 60.52372741699219, 5.04901123046875]
[-5.090301513671875, 46.091224670410156, 69.83444213867188, 72.52145385742188, -9.3519287109375, 61.39402770996094, 0.463165283203125]
[-3.821565628051758, 44.05821990966797, 69.8515853881836, 72.46345520019531, -6.2625885009765625, 62.39532470703125, -3.2896575927734375]
[-2.5074329376220703, 42.383628845214844, 69.79174041748047, 72.42373657226562, -3.54315185546875, 63.030242919921875, -8.128677368164062]
[-1.1526641845703125, 40.407989501953125, 69.78347778320312, 72.5417709350586, -0.428009033203125, 63.869659423828125, -12.088714599609375]
[0.24292564392089844, 38.78265380859375, 69.71517944335938, 72.74510192871094, 2.33843994140625, 64.40434265136719, -17.115371704101562]
[1.647684097290039, 36.89161682128906, 69.55818176269531, 73.09140014648438, 5.48370361328125, 65.05679321289062, -21.2362060546875]
[3.0844345092773438, 35.314170837402344, 69.27033996582031, 73.54640197753906, 8.286636352539062, 65.50382995605469, -26.353622436523438]
[4.506153106689453, 33.584537506103516, 68.87442779541016, 74.13133239746094, 11.459945678710938, 66.02957153320312, -30.68359375]
[5.967632293701172, 32.14345932006836, 68.36318969726562, 74.83392333984375, 14.290557861328125, 66.35139465332031, -35.91764831542969]
[7.401279449462891, 30.61205291748047, 67.73871612548828, 75.66810607910156, 17.467361450195312, 66.81283569335938, -40.390960693359375]
[8.883255004882812, 29.311119079589844, 67.01011657714844, 76.61631774902344, 20.316680908203125, 66.96876525878906, -45.66935729980469]
[10.327518463134766, 27.929187774658203, 66.18009185791016, 77.70918273925781, 23.47027587890625, 67.43399047851562, -50.287261962890625]
[11.825927734375, 26.894203186035156, 65.25037384033203, 78.8919677734375, 26.301651000976562, 67.41142272949219, -55.617469787597656]
[13.217548370361328, 25.7452392578125, 64.22411346435547, 80.29450988769531, 29.405914306640625, 67.83509826660156, -60.37407684326172]
[14.731929779052734, 24.996261596679688, 63.102298736572266, 81.71492004394531, 32.206756591796875, 67.68655395507812, -65.76288604736328]
[16.11627960205078, 24.176528930664062, 61.890010833740234, 83.3487319946289, 35.23371887207031, 68.10012817382812, -70.62357330322266]
[17.598270416259766, 23.60886001586914, 60.58723449707031, 85.09037780761719, 37.9749755859375, 67.84896850585938, -76.0600357055664]
[18.954696655273438, 23.169952392578125, 59.20444107055664, 87.0400390625, 40.89888000488281, 68.11585998535156, -81.08739471435547]
[20.37084197998047, 22.957069396972656, 57.73871994018555, 89.06436157226562, 43.55415344238281, 67.81460571289062, -86.57664489746094]
[21.66712188720703, 22.892894744873047, 56.21036148071289, 91.32119750976562, 46.37005615234375, 67.95858764648438, -91.66918182373047]
[23.013587951660156, 23.059314727783203, 54.60786437988281, 93.72341918945312, 48.933319091796875, 67.677490234375, -97.14531707763672]
[24.255966186523438, 23.42177963256836, 52.964420318603516, 96.35844421386719, 51.59565734863281, 67.58006286621094, -102.4981918334961]
[25.500728607177734, 24.019954681396484, 51.27699279785156, 99.17543029785156, 54.071502685546875, 67.33831787109375, -107.95407104492188]
[26.66884994506836, 24.848236083984375, 49.57686233520508, 102.24839782714844, 56.57133483886719, 67.0245361328125, -113.44932556152344]
[27.810985565185547, 25.91922378540039, 47.87303161621094, 105.57008361816406, 58.96441650390625, 66.81312561035156, -118.97175598144531]
[28.914478302001953, 27.241291046142578, 46.19374084472656, 109.15703582763672, 61.2828369140625, 66.27824401855469, -124.58098602294922]
[29.964000701904297, 28.807010650634766, 44.56782150268555, 113.05128479003906, 63.605072021484375, 66.05291748046875, -130.21902465820312]
[31.01895523071289, 30.638160705566406, 43.012874603271484, 117.21414184570312, 65.75553894042969, 65.35081481933594, -135.9155731201172]
[32.016841888427734, 32.6925048828125, 41.56892395019531, 121.73894500732422, 67.9979248046875, 65.12425231933594, -141.65966796875]
[33.03401565551758, 34.992774963378906, 40.25476837158203, 126.5409164428711, 70.01527404785156, 64.19798278808594, -147.45193481445312]
[34.034027099609375, 37.49174499511719, 39.08843994140625, 131.6459197998047, 72.17343139648438, 63.95222473144531, -153.28744506835938]
[35.03459930419922, 40.19066619873047, 38.101993560791016, 136.98959350585938, 74.0977783203125, 62.88311767578125, -159.1601104736328]
[36.041725158691406, 43.02043151855469, 37.26511001586914, 142.5499267578125, 76.17767333984375, 62.673736572265625, -165.0601348876953]
[37.021484375, 45.9869384765625, 36.59746551513672, 148.23634338378906, 78.03359985351562, 61.54130554199219, -170.9759063720703]
[37.999839782714844, 49.00099182128906, 36.00096893310547, 153.9993896484375, 79.99993896484375, 60.99993896484375, -176.8867645263672]
