['r_shoulder_z', 'r_shoulder_y', 'r_arm_x', 'r_elbow_y', 'r_wrist_z', 'r_wrist_x', 'r_indexfinger_x']
[-24.919740676879883, 81.44779205322266, 46.55365753173828, 94.36726379394531, -59.02692413330078, 28.002944946289062, 45.670166015625]
[-23.865203857421875, 77.55750274658203, 51.89624786376953, 90.36455535888672, -54.268531799316406, 32.673675537109375, 45.538543701171875]
[-22.569868087768555, 74.30670928955078, 56.39502716064453, 87.20636749267578, -49.97119140625, 36.89820861816406, 44.987945556640625]
[-21.237489700317383, 71.53363037109375, 60.12948989868164, 84.70526123046875, -46.129547119140625, 40.77137756347656, 44.056884765625]
[-19.95857048034668, 69.10401916503906, 63.15427780151367, 82.69648742675781, -42.5474853515625, 44.30854797363281, 42.80108642578125]
[-18.773338317871094, 66.90385437011719, 65.52346801757812, 81.04864501953125, -39.237030029296875, 47.5704345703125, 41.2457275390625]
[-17.696687698364258, 64.88050842285156, 67.2911376953125, 79.66707611083984, -36.06843566894531, 50.58721923828125, 39.42048645019531]
[-16.72781753540039, 62.95915222167969, 68.51400756835938, 78.48591613769531, -33.0570068359375, 53.37638854980469, 37.34684753417969]
[-15.853943824768066, 61.117889404296875, 69.25231170654297, 77.46090698242188, -30.100677490234375, 55.97377014160156, 35.0458984375]
[-15.05032730102539, 59.31464385986328, 69.574951171875, 76.56037902832031, -27.221054077148438, 58.381561279296875, 32.52496337890625]
[-14.27672290802002, 57.533424377441406, 69.6925048828125, 75.7597427368164, -24.364791870117188, 60.62388610839844, 29.8115234375]
[-13.499897003173828, 55.754150390625, 69.70826721191406, 75.04328155517578, -21.529815673828125, 62.71171569824219, 26.896224975585938]
[-12.694282531738281, 53.95393371582031, 69.7640609741211, 74.40230560302734, -18.71429443359375, 64.64501953125, 23.81683349609375]
[-11.859476089477539, 52.167274475097656, 69.68135070800781, 73.84017944335938, -15.874755859375, 66.45762634277344, 20.55889892578125]
[-10.974639892578125, 50.34922790527344, 69.70222473144531, 73.35151672363281, -13.049026489257812, 68.12298583984375, 17.1551513671875]
[-10.045482635498047, 48.54161834716797, 69.73005676269531, 72.94174194335938, -10.180740356445312, 69.70718383789062, 13.5870361328125]
[-9.082950592041016, 46.72455596923828, 69.63516998291016, 72.61830139160156, -7.3026275634765625, 71.12136840820312, 9.920379638671875]
[-8.079111099243164, 44.91862487792969, 69.55807495117188, 72.37974548339844, -4.385650634765625, 72.50723266601562, 6.071197509765625]
[-7.03697395324707, 43.122047424316406, 69.48971557617188, 72.2293472290039, -1.4179534912109375, 73.72491455078125, 2.1697540283203125]
[-5.971426010131836, 41.34778594970703, 69.30345153808594, 72.17483520507812, 1.5485382080078125, 74.93231201171875, -1.8890533447265625]
[-4.888406753540039, 39.60497283935547, 69.0087890625, 72.22091674804688, 4.640655517578125, 75.98629760742188, -6.011260986328125]
[-3.7897090911865234, 37.903038024902344, 68.60614776611328, 72.36868286132812, 7.6623382568359375, 77.03982543945312, -10.249496459960938]
[-2.679555892944336, 36.24098205566406, 68.08580017089844, 72.62271118164062, 10.867752075195312, 77.97210693359375, -14.546859741210938]
[-1.5561866760253906, 34.645774841308594, 67.45662689208984, 72.98047637939453, 13.976760864257812, 78.8709716796875, -18.942779541015625]
[-0.42218589782714844, 33.10127639770508, 66.7250747680664, 73.44692993164062, 17.25, 79.69857788085938, -23.38311767578125]
[0.7250270843505859, 31.634288787841797, 65.89833068847656, 74.02009582519531, 20.416778564453125, 80.4765625, -27.924331665039062]
[1.8810367584228516, 30.244861602783203, 64.98011016845703, 74.70508575439453, 23.765228271484375, 81.20108032226562, -32.480743408203125]
[3.04803466796875, 28.933307647705078, 63.974849700927734, 75.49711608886719, 26.990325927734375, 81.8765869140625, -37.14039611816406]
[4.2195281982421875, 27.730422973632812, 62.887054443359375, 76.40571594238281, 30.349899291992188, 82.50445556640625, -41.82295227050781]
[5.397411346435547, 26.62087631225586, 61.71934127807617, 77.4262466430664, 33.628265380859375, 83.08660888671875, -46.57225036621094]
[6.571620941162109, 25.62914276123047, 60.475582122802734, 78.5632553100586, 36.96888732910156, 83.6240234375, -51.365509033203125]
[7.743762969970703, 24.750389099121094, 59.158531188964844, 79.81965637207031, 40.27455139160156, 84.11843872070312, -56.20423126220703]
[8.907154083251953, 24.005935668945312, 57.771514892578125, 81.19857025146484, 43.582305908203125, 84.5699462890625, -61.097373962402344]
[10.057136535644531, 23.39708709716797, 56.31916427612305, 82.70448303222656, 46.88279724121094, 84.97906494140625, -66.0213394165039]
[11.189517974853516, 22.934406280517578, 54.80562210083008, 84.34170532226562, 50.147216796875, 85.34649658203125, -71.0049819946289]
[12.297676086425781, 22.624908447265625, 53.23794937133789, 86.11644744873047, 53.42108154296875, 85.67111206054688, -76.02362823486328]
[13.380195617675781, 22.47603988647461, 51.62143325805664, 88.0338363647461, 56.633575439453125, 85.95773315429688, -81.08539581298828]
[14.427146911621094, 22.494590759277344, 49.96725845336914, 90.10348510742188, 59.855804443359375, 86.1876220703125, -86.195556640625]
[15.442123413085938, 22.68521499633789, 48.282691955566406, 92.3289794921875, 62.98442077636719, 86.43157958984375, -91.34452056884766]
[16.411273956298828, 23.054859161376953, 46.58457946777344, 94.72420501708984, 66.20309448242188, 86.54296875, -96.5385513305664]
[17.35976791381836, 23.604724884033203, 44.877254486083984, 97.29076385498047, 69.22257995605469, 86.68533325195312, -101.77395629882812]
[18.226802825927734, 24.33554458618164, 43.195858001708984, 100.0477294921875, 72.38812255859375, 86.71881103515625, -107.05187225341797]
[19.105224609375, 25.247283935546875, 41.51570129394531, 102.98635864257812, 75.36477661132812, 86.875732421875, -112.37071990966797]
[19.901535034179688, 26.340076446533203, 39.9115104675293, 106.1270980834961, 78.42376708984375, 86.756103515625, -117.72929382324219]
[20.701984405517578, 27.60393524169922, 38.34422302246094, 109.460693359375, 81.39556884765625, 86.78524780273438, -123.12483215332031]
[21.451656341552734, 29.03241729736328, 36.88245391845703, 112.99189758300781, 84.37066650390625, 86.63104248046875, -128.55441284179688]
[22.186969757080078, 30.610870361328125, 35.504520416259766, 116.70951843261719, 87.31625366210938, 86.5928955078125, -134.0133819580078]
[22.92432403564453, 32.325199127197266, 34.224578857421875, 120.5955810546875, 90.24786376953125, 86.43896484375, -139.4962158203125]
