['r_shoulder_z', 'r_shoulder_y', 'r_arm_x', 'r_elbow_y', 'r_wrist_z', 'r_wrist_x', 'r_indexfinger_x']
[-24.919361114501953, 81.44810485839844, 46.55258560180664, 94.36744689941406, -59.028564453125, 28.001876831054688, 45.66978454589844]
[-23.31094741821289, 78.00289916992188, 50.309425354003906, 90.2988052368164, -56.816192626953125, 31.179000854492188, 44.97093200683594]
[-21.710737228393555, 75.03691101074219, 53.673831939697266, 86.96319580078125, -54.75420379638672, 33.847442626953125, 43.82257080078125]
[-20.148799896240234, 72.38261413574219, 56.63290786743164, 84.15421295166016, -52.84275817871094, 36.336029052734375, 42.37896728515625]
[-18.637256622314453, 70.02826690673828, 59.197723388671875, 81.73316192626953, -50.978057861328125, 38.378082275390625, 40.582794189453125]
[-17.17542266845703, 67.76927947998047, 61.38917541503906, 79.60845947265625, -49.13423156738281, 40.3045654296875, 38.508026123046875]
[-15.75977611541748, 65.69084930419922, 63.239349365234375, 77.69757080078125, -47.28460693359375, 41.865234375, 36.19108581542969]
[-14.379319190979004, 63.61309051513672, 64.78129577636719, 75.98719024658203, -45.35418701171875, 43.34175109863281, 33.60247802734375]
[-13.02432632446289, 61.64988708496094, 66.04940795898438, 74.38926696777344, -43.38264465332031, 44.5299072265625, 30.829437255859375]
[-11.681655883789062, 59.672760009765625, 67.07698822021484, 72.94415283203125, -41.27284240722656, 45.633819580078125, 27.838790893554688]
[-10.339818954467773, 57.7161865234375, 67.89472198486328, 71.61209106445312, -39.087005615234375, 46.531585693359375, 24.6575927734375]
[-8.988780975341797, 55.78087615966797, 68.52989959716797, 70.39778137207031, -36.74671936035156, 47.32255554199219, 21.342742919921875]
[-7.614650726318359, 53.79756164550781, 69.00743103027344, 69.30033111572266, -34.30577087402344, 47.9864501953125, 17.819137573242188]
[-6.217000961303711, 51.85955047607422, 69.347900390625, 68.31916809082031, -31.71075439453125, 48.53089904785156, 14.222442626953125]
[-4.779752731323242, 49.85823059082031, 69.56722259521484, 67.45923614501953, -29.016403198242188, 48.9849853515625, 10.425064086914062]
[-3.3015975952148438, 47.885658264160156, 69.70478057861328, 66.72258758544922, -26.166915893554688, 49.34898376464844, 6.5831451416015625]
[-1.776590347290039, 45.87995910644531, 69.75399017333984, 66.11402130126953, -23.245361328125, 49.6146240234375, 2.56134033203125]
[-0.19891738891601562, 43.87620544433594, 69.78085327148438, 65.63497924804688, -20.17071533203125, 49.83642578125, -1.480560302734375]
[1.4397449493408203, 41.87648010253906, 69.75999450683594, 65.28897094726562, -17.055435180664062, 49.95196533203125, -5.69451904296875]
